title,tvideoId,tviewCount,likeCount,dislikeCount,commentCount
 Nursery Rhymes and Baby Songs | Kids Songs | Dave and Ava ,YDKP3fBtSe0,305077,2431,1706,0
"Quality Control, Lil Baby, &amp; DaBaby - &quot;Baby&quot; (Official Music Video)",0GbwYFqN1iE,77762110,740300,36995,25864
Lil Baby - Sum 2 Prove (Official Video),xOjy0tL5EuA,2450497,148822,1856,5808
"Quality Control, Lil Baby, DaBaby - Baby (Audio)",Cn3zeRl_f6c,21555315,123105,4963,1704
Baby Alive Pumpkins Goes To The Dentist baby alive videos,ZjzYHBJuFF0,67295,725,116,0
" Baby Shark , Yes Yes Good Habits , Wheels on the Bus , Happy Birthday Song - Banana Cartoon",sOCR9_iD_Pg,1404088,8392,4215,0
" Baby Shark , Yes Yes Mother Song  , Wheels on the Bus , Happy Birthday Song - Banana Cartoon [HD]",T9ewZqSDgA8,828544,5466,2498,0
Justin Bieber - Baby ft. Ludacris (Official Music Video),kffacxfA7G4,2194142762,12855345,11114711,4684836
BABY KOA&#39;S FIRST OFFICIAL PHOTOSHOOT! *cutest newborn photos!!*,jHEm3VbKmDg,482230,14218,223,0
" Baby Shark , My Father and Sons , Wheels on the Bus , Happy Birthday Song - Banana Cartoon [HD]",AbK3S7zKnh0,1314862,7448,3550,0
ABC Song | Boo Boo Song | Baby Shark | Bath Song | Baby Song | Cartoon | Nursery Rhymes &amp; Kids Song,npi-86VKkjY,2629580,20356,14388,0
"Yes, Yes, Baby Go to Sleep | Kids Songs &amp; Nursery Rhymes by Little Angel",gatq1ose0mQ,29818299,134252,70707,974
Baby Alive Daycare Routine Valentine&#39;s Day,MNvQAcenWS8,82521,780,112,0
BABY ALIVE MENINO FELIPINHO CAIU DA CAMA E QUEBROU A PERNA,YlzWX9ve_Gs,69474,1883,239,0
Baby Siblings Playing and Laughing Together,eAnkDcH1mfw,451039,2408,999,22
Baby Alive Abby Packing For Vacation [?],RrHjEZDDGLQ,1064359,4988,1461,0
" Baby Shark , My Sister Song , Wheels on the Bus , Happy Birthday Song - Banana Cartoon",SqBpb4lgmU8,685085,5023,2418,0
El Angel con Baby Etchecopar Programa 18/02/2020,jpCpgwKmN4w,13752,366,38,101
 Wheel on the Bus | Nursery Rhymes and Kids Songs | Baby Songs,EZZ3mOzEpsA,162205,1310,756,0
Baby Shark Dance | Sing and Dance! | Animal Songs | PINKFONG Songs for Children,XqZsoesa55w,4597838001,13781053,5537586,0

title,videoId,viewCount
Baby Shark Dance | Sing and Dance! | Animal Songs | PINKFONG Songs for Children,XqZsoesa55w,4597838001
Justin Bieber - Baby ft. Ludacris (Official Music Video),kffacxfA7G4,2194142762
"Quality Control, Lil Baby, &amp; DaBaby - &quot;Baby&quot; (Official Music Video)",0GbwYFqN1iE,77762110
"Yes, Yes, Baby Go to Sleep | Kids Songs &amp; Nursery Rhymes by Little Angel",gatq1ose0mQ,29818299
"Quality Control, Lil Baby, DaBaby - Baby (Audio)",Cn3zeRl_f6c,21555315

title,videoId,likeCount/viewCount
Lil Baby - Sum 2 Prove (Official Video),xOjy0tL5EuA,0.060731353680498285
BABY KOA&#39;S FIRST OFFICIAL PHOTOSHOOT! *cutest newborn photos!!*,jHEm3VbKmDg,0.029483856251166455
BABY ALIVE MENINO FELIPINHO CAIU DA CAMA E QUEBROU A PERNA,YlzWX9ve_Gs,0.02710366468031206
El Angel con Baby Etchecopar Programa 18/02/2020,jpCpgwKmN4w,0.026614310645724257
Baby Alive Pumpkins Goes To The Dentist baby alive videos,ZjzYHBJuFF0,0.010773460138197489

title,videoId,dislikeCount/viewCount
 Nursery Rhymes and Baby Songs | Kids Songs | Dave and Ava ,YDKP3fBtSe0,0.005592030864339167
ABC Song | Boo Boo Song | Baby Shark | Bath Song | Baby Song | Cartoon | Nursery Rhymes &amp; Kids Song,npi-86VKkjY,0.005471596224492124
Justin Bieber - Baby ft. Ludacris (Official Music Video),kffacxfA7G4,0.005065627994902549
 Wheel on the Bus | Nursery Rhymes and Kids Songs | Baby Songs,EZZ3mOzEpsA,0.004660768780247218
" Baby Shark , My Sister Song , Wheels on the Bus , Happy Birthday Song - Banana Cartoon",SqBpb4lgmU8,0.0035294890415057986
